,Seiral No,Reviewer ID,Avg Cites,Avg CitesPerYear,Avg CitesPerAuthor,Avg Age,Keyphrases,Journal Count,Confidence Count
10,11,777faedd,6.61,2.37,1.55,2.5,"robot,
bangla,
sign,
hand,
gestur,
peopl,
test,
softwar,
imag,
hand-sign,
contour,
control,
languag,
gestur recognit,
framework,
map,
boolean,
manag,
bangla sign,
sign languag,
wheelchair,
recognit,
softwar test,
gestur recognit system,
bengali,
â€™,
numer,
interact,
binari,
distribut,
vc,
voic,
bangla sign languag,
test case,
case,
karnaugh,
karnaugh map,
map tool,
tool,
text,
binari imag,
vehicl,
circuit,
recognit system,
train,
sensor,
comput,
numer sign,
alphabet,
digit,
classifi,
classif,
real-tim,
model,
commun,
algorithm,
behavior,
children,
ultrason,
ultrason sensor,
edg,
bangla languag,
hand-sign-spel bangla sign,
hand-sign-spel bangla sign languag,
express,
gener,
research,
hand gestur,
walk,
rw,
patient,
vector,
segment,
design,
improv,
comput vision-bas,
vision-bas,
phase,
detect,
inform manag,
blockchain,
distribut ledger,
ledger,
disabl,
hand-sign-spel,
hand-sign-spel bangla,
extens,
boolean express,
inform,
interpret,
non-sign,
non-sign peopl,
anim,
move,
standard,
propos,
automat,
reduc,
person,
system,
veri,
lp,
minim,
result,
hand sign,
autom,
exist,
charact,
test case gener,
test case gener framework,
case gener,
case gener framework,
gener framework,
process,
method,
bangla languag model,
bangla languag model algorithm,
languag model,
languag model algorithm,
model algorithm,
automat recognit,
real-tim comput,
real-tim comput vision-bas,
bengali alphabet,
karnaugh map tool,
number,
analysi,
predefin,
robot wheelchair,
hand glove,
glove,
wheelchair handl,
handl,
easili,
qualiti,
time,
postur,
numer sign recognit,
sign recognit,
featur,
use contour,
ha,
roi,
becaus,
simplifi,
k-map,
term,
autist,
autist children,
autism,
commun skill,
skill,
send,
signal,
appli,
consid,
ensur,
accuraci,
convert,
correspond,
acc,
t,
assist,
thi robot,
input,
human,
effici,
extract,
network,
simpl,
vehicl registr,
registr,
bc,
academia,
industri,
smart,
applic,
platform,
manag system,
comput vision,
vision,
perform,
area,
valu,
rule,
rule base,
extens karnaugh,
extens karnaugh map,
extens karnaugh map tool,
possibl,
cluster,
scale,
data,
hand-sign classif,
thi paper present,
paper present,
â€™ s,
s,
length,
bengali sign,",18,2
11,12,9e0ab072,5.09,1.07,2.38,4.6,"queri,
wildcard,
protocol,
graph,
algorithm,
pattern,
bipartit,
privat,
conjunct,
test,
cloud,
speech,
conjunct queri,
integ,
comparison,
learn,
cluster,
data,
servic,
search,
pattern match,
match,
applic,
pet,
process,
comparison protocol,
cost,
storag,
effici,
techniqu,
pribet,
databas,
batch,
detect,
bipartit graph,
research,
scheme,
#NAME?
secur,
hadoop,
provid,
block,
comput,
problem,
encrypt,
kim,
system,
perform,
domain,
privacy-preserv,
web,
cryptographi,
wildcard pattern,
queri process,
charact,
et,
et al,
al,
custom,
theori,
approach,
replac,
set,
custom search,
privat conjunct,
semi-honest,
semi-honest model,
file,
privat conjunct queri,
swhe,
base,
placement,
placement polici,
polici,
distribut,
model,
compar,
load,
ring-lw,
homomorph,
improv,
rang,
rang queri,
wa,
apwc,
cse,
topic,
dealt,
network,
machin,
machin learn,
deep,
deep learn,
steer,
steer system,
text-data,
text-data analyt,
analyt,
media,
softwar,
softwar architectur,
softwar architectur document,
architectur,
architectur document,
document,
smart,
smart load,
smart load monitor,
smart load monitor devic,
load monitor,
load monitor devic,
monitor,
monitor devic,
devic,
implement,
abl,
encrypt data,
method,
show,
pribet protocol,
letter,
circuit,
wildcard charact,
encod,
kim et,
kim et al,
disjunct,
spm,
privat integ,
singl,
user,
pack method,
protocol use,
specif,
scholar,
reduc,
multipl,
mani,
homomorph encrypt,
cost minim,
minim,
â€™,
decrypt,
text,
key,
pack,
novel,
peak,
privat databas,
consid,
heterogen,
hdf,
block placement,
block placement polici,
ha,
ckk,
denot,
effici protocol,
wildcard pattern match,
thi paper,
paper,
disjunct queri,
support,
ani,
privat comparison,
privat comparison protocol,
enhanc,
thi research,
input,
produc,
output,
thi,
privat databas queri,
databas queri,
outsourc,
word,
store,
bpcq,
number,
rsa,
rsa algorithm,
speech data,
public,
effici privacy-preserv,
effici privacy-preserv comparison,
effici privacy-preserv comparison protocol,
privacy-preserv comparison,
privacy-preserv comparison protocol,
propos,
complet,
complet bipartit,
complet bipartit graph,
help,
matrix,
graph theori,
],",21,4
12,13,1c6e9622,2.96,2.21,0.66,2.48,"network,
iot,
ha,
antenna,
thi,
smart,
platform,
distribut,
smart citi,
citi,
detect,
system,
artifici,
sars-cov-2,
cricket,
base,
vote,
use,
variou,
power,
data,
internet,
comput,
thi paper,
paper,
monitor,
applic,
connect,
countri,
gener,
ipv6,
wa,
addit,
secur,
limit,
version,
differ,
thing,
implement,
covid-19,
media,
cell,
activ,
essenti,
player,
studi,
human,
increas,
today,
anomali,
revers,
earli,
earli voltag,
voltag,
channel,
research,
diseas,
evalu,
effici,
import,
year,
approach,
molecular,
light,
devic,
bacteri,
spot,
spot diseas,
osn,
ha becom,
becom,
consid,
length,
design,
investig,
growth,
bangladesh,
citru,
dure,
introduc,
power limit,
crystal,
propos,
peopl,
veri,
number,
issu,
plasma,
creat,
depend,
blockchain-sdn,
blockchain-sdn base,
distribut secur,
distribut secur architectur,
secur architectur,
architectur,
insecur,
portabl,
portabl devic,
rate,
variou distribut,
cyber-attack,
ineffici,
period,
activ monitor,
camera,
numer,
enhanc,
framework,
clinic,
pandem,
mani,
second-wav,
industri,
news,
seed,
rice,
lpdbd,
ar+,
ar+ air,
air,
grown,
target,
sars-cov-2 nonstructur,
sars-cov-2 nonstructur protein,
nonstructur,
nonstructur protein,
protein,
jagannath,
jagannath univers,
univers,
uwb,
uwb antenna,
band,
recommend,
analyz,
tissu,
regul,
molecul,
identifi,
mine,
ann,
calcul,
vote system,
method,
user,
xanthomona,
control,
anomali detect,
revers shift,
revers shift regist,
shift,
shift regist,
regist,
mosfet,
channel length,
channel length modul,
length modul,
modul,
present,
statu,
properti,
potassium,
potassium aluminium,
potassium aluminium sulfat,
aluminium,
aluminium sulfat,
sulfat,
enorm,
promis,
qualiti,
potash,
potash alum,
alum,
absorpt,
light intens,
intens,
econom,
effect,
test,
onlin,
determin,
includ,
quantum,
quantum comput,
technolog,
select,
carbon,
carbon anhydras,
carbon anhydras ix,
anhydras,
anhydras ix,
ix,
hcaix,
tsukushi,
signal,
oscil,
presomit,
presomit mesoderm,
mesoderm,",33,3
13,14,c593bb1f,4.8,0.9,2.26,4.16,"plan,
video,
text,
planner,
schedul,
qualiti,
caption,
problem,
comput,
class,
class schedul,
journal,
research,
abstract,
task,
abstract text,
abstract text summar,
text summar,
summar,
gener,
video caption,
semant,
summari,
anytim,
anytim planner,
optimis,
block,
patient,
discoveri,
qo,
effici,
continu,
continu plan,
time,
satisf,
use,
manag,
process,
plan qualiti,
plan qualiti optimis,
qualiti optimis,
exploit,
subplan,
control,
autom,
futur,
climat,
climat chang,
chang,
bangladesh,
countri,
effect,
peephol,
macro,
macro gener,
plan process,
deorder,
structur,
student,
comput scienc,
scienc,
descript,
sever,
improv,
plan problem,
hospit,
dietari,
proper,
proper diet,
diet,
diseas,
attent,
model,
decomposit,
ai,
thi,
balanc,
qo inform,
inform,
natur,
natur languag,
natur languag process,
languag,
languag process,
continu plan qualiti,
continu plan qualiti optimis,
lot,
decompos,
publish,
world,
ie,
gener caption,
video sequenc,
video sequenc creat,
sequenc,
sequenc creat,
creat,
bridg,
comput vision,
comput vision domain,
vision,
vision domain,
domain,
semant accur,
semant accur descript,
accur,
accur descript,
attent peephol,
peephol convolut,
peephol convolut lstm,
convolut,
convolut lstm,
lstm,
paraphras,
present,
abstract text summar model,
text summar model,
summar model,
block decomposit,
ai planner,
compromis,
speed,
gener plan,
anytim planner tri,
planner tri,
tri,
object,
effect use,
block-structur,
block-structur plan,
block-structur plan deorder,
plan deorder,
order,
order plan,
sever use,
sever use properti,
use properti,
properti,
exhibit,
clearli,
facilit,
facilit post-plan,
facilit post-plan gener,
facilit post-plan gener task,
post-plan,
post-plan gener,
post-plan gener task,
gener task,
explain,
user,
break,
distribut,
distribut execut,
execut,
standard,
minizinc,
highli,
highli constrain,
highli constrain task,
constrain,
constrain task,
educ,
educ institut,
educ institut spend,
institut,
institut spend,
spend,
resourc,
form,
satisf schedul,
fulfil,
requir,
satisf class,
satisf class schedul,
satisf class schedul accommod,
class schedul accommod,
schedul accommod,
accommod,
qualiti plan,
larg,
larg plan,
larg plan problem,
abl,
improv plan,
improv plan quickli,
plan quickli,
quickli,
tend,
reach,
limit,
plan produc,
produc,
veri,
possibl,
planner fail,
fail,
ani,
mvc-base,
mvc-base autom,
mvc-base autom journal,",15,2
14,15,dcfb953f,7.15,3.08,1.92,3.04,"network,
sensor,
sensor network,
coverag,
wireless,
system,
use,
student,
wireless sensor,
wireless sensor network,
target,
mobil,
predict,
activ,
comput,
thi,
perform,
depress,
increas,
learn,
effect,
base,
manag,
cloud,
area,
smartphon,
dsn,
diabet,
machin,
machin learn,
cluster,
day,
secur,
algorithm,
research,
data,
network lifetim,
lifetim,
women,
protocol,
area coverag,
analysi,
energi,
play,
ha,
problem,
devic,
technolog,
sens,
human,
level,
mac,
sink,
academ,
academ perform,
studi,
challeng,
bank,
pancrea,
insulin,
smart,
differ,
diseas,
autom,
node,
educ,
game,
antenna,
attend,
botnet,
environ,
detect,
qualiti,
chang,
provid,
rna,
paper,
commun,
inform,
propos,
transmiss,
control,
resourc,
awar,
manag system,
heterogen,
offload,
edg,
cloud comput,
mac protocol,
effici,
affect,
access,
multimedia,
glucos,
ad-hoc,
ad-hoc network,
iot,
thi paper,
accid,
onlin,
monitor,
approach,
face,
work,
traffic,
behavior,
rout,
becom,
extend,
includ,
life,
solut,
thi research,
imag,
present,
target coverag,
advanc,
congest,
peopl,
onlin bank,
sgpa,
cgpa,
outcom,
produc,
select,
name,
garbag,
place,
secondari,
secondari structur,
structur,
process,
techniqu,
dynam,
determin,
howev,
year,
data deliveri,
deliveri,
mobil devic,
method,
individu,
minim,
mobil sink,
time,
educ game,
likht,
bangladesh,
assess,
neighbor,
cycl,
gener,
way,
organ,
wireless multimedia,
wireless multimedia sensor,
multimedia sensor,
focus,
coverag qualiti,
sensor node,
consid,
interfer,
project,
autom attend,
autom attend manag,
autom attend manag system,
attend manag,
attend manag system,
impact,
nowaday,
abl,
dissert,
provid extend,
requir,
distribut,
health,
power,
diabet patient,
patient,
implement,
iot base,
wireless ad-hoc,
wireless ad-hoc network,
multi-channel,
ensur,
appropri,
machin learn approach,
learn approach,
respons,
mobil edg,
mec,
music,
emot,
express,
d-care,
glucos measur,
glucos measur techniqu,
measur,
measur techniqu,",53,3
15,16,5c9a028a,13.4,2.37,3.28,5.48,"time,
network,
control,
vehicular,
synchron,
time synchron,
protein,
smart,
distribut,
system,
advanc,
internet,
sourc,
intellig,
voltag,
improv,
use,
oper,
commun,
comput,
technolog,
three-phas,
salmon,
secur,
ha,
invert,
thi,
vehicular ad-hoc,
vehicular ad-hoc network,
ad-hoc,
ad-hoc network,
data,
gnss,
design,
energi,
lv,
road,
single-phas,
renew,
pv,
microgrid,
cognit,
cognit internet,
vehicl,
thing,
iot,
four-wir,
vehicular network,
peptid,
long-rang,
compens,
issu,
load,
commun network,
precis,
implement,
feasibl,
distribut system,
venou,
thi paper,
paper,
cloud,
trust,
decis,
gener,
mobil,
voltag sourc,
voltag sourc invert,
sourc invert,
gnss time,
power,
studi,
surfac,
sequenc,
home,
artifici,
artifici intellig,
smart citi,
citi,
applic,
accur,
face,
method,
assist,
base,
impact,
zero,
zero sequenc,
platform,
support,
four-leg,
layer,
wa,
hydrolys,
renew energi,
renew energi sourc,
energi sourc,
inform,
autom,
distribut network,
vsi,
gnss time synchron,
enhanc,
field,
function,
privaci,
cloud technolog,
cloud technolog offer,
technolog offer,
offer,
strength,
support intellig,
support intellig comput,
intellig comput,
advanc servic,
servic,
autom decis,
automat,
year,
connect,
transmiss,
demand,
face detect,
detect,
gender,
smart voltag,
smart voltag sourc,
smart voltag sourc invert,
identif,
commerci,
blood,
protein hydrolys,
satellit,
vanet,
cod,
user,
wire,
dq,
hybrid,
manag,
environ,
report,
effect,
intellig transport,
transport,
human,
motiv,
layer architectur,
architectur,
secur issu,
past,
experienc,
technolog advanc,
commun field,
ha significantli,
ha significantli contribut,
significantli,
significantli contribut,
contribut,
reshap,
cooper,
framework,
coordin,
independ,
independ improv,
evolut,
th,
th gener,
th gener mobil,
th gener mobil commun,
gener mobil,
gener mobil commun,
gener mobil commun network,
mobil commun,
mobil commun network,
lte-advanc,
grow,
control zero,
control zero sequenc,
protocol,
precis time,
home applianc,
applianc,
analysi,
measur,
blood pressur,
pressur,
problem,
case,
composit,
composit resin,
resin,
unequ,
phase,
dynam,
improv road,
residenti,
survey,
time synchronis,
synchronis,",59,3
16,17,c9db9ac7,13.56,2.68,4.03,5.54,"sensor,
process,
imag,
mechatron,
autom,
network,
softwar,
detect,
enhanc,
use,
recognit,
problem,
system,
algorithm,
electr,
comput,
vehicl,
histogram,
sensor network,
method,
optim,
thi,
wireless,
cluster,
electr vehicl,
hybrid,
cloud,
bug,
pattern,
approach,
express,
base,
propos,
dispatch,
face,
energi,
econom,
wireless sensor,
ha,
imag enhanc,
data,
vehicular,
plug-in,
express recognit,
activ,
protocol,
featur,
medic,
emiss,
mani,
plug-in hybrid,
swarm,
schedul,
charg,
provid,
wireless sensor network,
applic,
time,
ieee,
paper,
avail,
descriptor,
plug-in hybrid electr,
plug-in hybrid electr vehicl,
hybrid electr,
hybrid electr vehicl,
number,
combin,
cp,
human,
internet,
analysi,
smart,
object,
research,
review,
feder,
vehicular network,
techniqu,
thi paper,
emiss dispatch,
sever,
framework,
procedur,
analyz,
econom emiss,
econom emiss dispatch,
improv,
edg,
technolog,
recommend,
track,
particl,
transport,
filter,
constraint,
tournament,
user,
effect,
howev,
issu,
qualiti,
recommend system,
age,
present,
inform,
becom,
effici,
control,
skin,
skin detect,
affect,
nois,
dispatch problem,
larg,
challeng,
perform,
program,
program languag,
languag,
ball,
degrad,
health,
secur,
particl swarm,
digit,
move,
vol,
depend,
learn,
structur,
resourc,
grid,
model,
intellig,
import,
stop,
onlin,
year,
particl swarm optim,
swarm optim,
index,
contrast,
contrast enhanc,
suffer,
vision,
limit,
commun,
converg,
genom,
solv,
presenc,
access,
discuss,
veri,
adapt,
softwar defin,
defin,
multi-access,
multi-access edg,
multi-access edg framework,
edg framework,
remov,
key,
solut,
media,
comput vision,
sudoku,
puzzl,
warn,
ieee transact,
transact,
affect comput,
road,
identif,
impair,
impair patient,
patient,
station,
power,
scheme,
requir,
predict,
sourc,
verif,
person,
phev,
order,
potenti,
design,
renew,
renew energi,
motion,
quantum,
code,
orient,
combin econom,
combin econom emiss,
combin econom emiss dispatch,",109,1
17,18,06a2f162,40.12,10.4,8.06,4.53,"assembl,
pore,
protein,
npc,
loop,
imag,
cell,
zygot,
genom,
tad,
parent,
spindl,
membran,
function,
microtubul,
chromosom,
quantit,
track,
compart,
format,
centrosom,
human,
regul,
process,
ha,
mitosi,
map,
understand,
ctcf,
cohesin,
thi,
requir,
divis,
time,
embryo,
organ,
human cell,
fluoresc,
mechan,
essenti,
dynam,
architectur,
mitot,
parent genom,
divid,
framework,
earli,
comput,
biolog,
microscopi,
larg,
gene,
domain,
condensin,
prophas,
studi,
role,
migrat,
coordin,
life,
sister,
sister chromatid,
chromatid,
resolut,
molecular,
associ,
cell divis,
interact,
consist,
use,
thought,
structur,
analysi,
mitot chromosom,
dure,
mediat,
cell migrat,
space,
pronuclei,
tag,
pore assembl,
target,
time-laps,
envelop,
genet,
form,
report,
model,
key,
data,
partit,
remain,
import,
detect,
spindl format,
fluoresc microscopi,
fluoresc microscopi map,
microscopi map,
variabl,
variabl molecular,
variabl molecular architectur,
molecular architectur,
larg macromolecular,
larg macromolecular machin,
macromolecular,
macromolecular machin,
machin,
traffic,
nucleu,
cytoplasm,
vertebr,
npc consist,
term,
term nucleoporin,
nucleoporin,
mass,
mda,
edg,
fundament,
tight,
tight coordin,
creat,
quantit map,
daughter,
daughter cell,
topolog,
topolog associ,
topolog associ domain,
associ domain,
inner,
inm,
play,
endocardi,
cardiac,
applic,
experiment,
comput framework,
dynam protein,
dynam protein atla,
protein atla,
atla,
human cell divis,
begin,
genet materi,
materi,
meet,
fertil,
fertil egg,
fertil egg divid,
egg,
egg divid,
wa,
singl,
singl microtubul,
singl microtubul spindl,
microtubul spindl,
respons,
combin,
activ,
achiev,
wapl,
pds5,
pds5 protein,
facilit,
facilit gene,
facilit gene regul,
gene regul,
chromosom function,
autom,
microscopi imag,
refer,
reveal,
despit,
presenc,
patern,
patern centrosom,
parent genom contain,
genom contain,
contain,
rodent,
rodent zygot,
sperm,
sperm centrosom,
degrad,
acentriolar,
acentriolar microtubul,
acentriolar microtubul organ,
acentriolar microtubul organ center,
microtubul organ,
microtubul organ center,
organ center,
center,
guid,
howev,
intrins,
poorli,
poorli understood,
understood,
sister chromatid resolut,
chromatid resolut,",31,2
18,19,bbaaa300,12.48,6.08,3.1,3.54,"na,
network,
healthcar,
system,
use,
technolog,
base,
detect,
solar,
internet,
thi,
thing,
covid-19,
diseas,
effici,
secur,
peopl,
iot,
commun,
analysi,
ha,
intellig,
learn,
wireless,
sensor,
cognit,
energi,
smart,
applic,
bangladesh,
perform,
paper,
data,
imag,
world,
health,
awar,
thi paper,
model,
user,
machin,
inform,
reliabl,
node,
predict,
autism,
human,
mac,
user awar,
energi effici,
sensor network,
effect,
machin learn,
healthcar thing,
manag,
wireless sensor,
wireless sensor network,
earthquak,
underwat,
present,
cooper,
fall,
electr,
power,
optim,
disord,
select,
algorithm,
spectrum,
approach,
differ,
coronaviru,
interconnect,
artifici,
cell,
challeng,
devic,
comput,
confer,
brain,
patient,
hybrid,
robot,
deep,
monitor,
elderli,
advanc,
attack,
artifici intellig,
cost,
studi,
intern,
intern confer,
techniqu,
gener,
coronaviru diseas,
mobil,
multijunct,
multijunct solar,
commun technolog,
rout,
becom,
solar cell,
attack detect,
emerg,
trust,
support,
caus,
frequenc,
proceed,
assist,
signal,
variou,
novel,
work,
alzheim,
underwat wireless,
underwat wireless sensor,
underwat wireless sensor network,
pandem,
multijunct solar cell,
access,
demand,
framework,
cooper network,
year,
electr analysi,
gigahertz,
on-chip,
on-chip interconnect,
swcnt,
joint,
memori,
interfer,
control,
physic,
test,
evalu,
research,
provid,
layer,
solar power,
vision,
case,
book,
prevent,
sourc,
paper present,
process,
enhanc,
abstract,
recommend,
disabl,
ghz,
mental,
monitor system,
smart citi,
citi,
identifi,
engin,
trust manag,
informat,
perform analysi,
infect,
type,
place,
relay,
rate,
neurolog,
neurolog disord,
repres,
thi paper present,
radio,
macro-femto,
dynam,
system use,
wheelchair,
ioht,
fall detect,
cognit cooper,
solar radiat,
radiat,
stroke,
field,
deep learn,
sens,
traffic,
comput vision,
softwar,
ha becom,
thi work,
earli,
theoret,",156,1
19,20,3a579790,6.09,2.58,1.4,3.66,"hypertens,
adult,
work,
featur,
mesh,
wireless,
mesh network,
risk,
age,
congest,
detect,
wireless mesh,
wireless mesh network,
network,
data,
traffic,
person,
cognit,
rate,
control,
softwar,
dynam,
licens,
public,
traffic engin,
engin,
high-throughput,
manag,
cell,
base,
univers,
product,
chang,
wmn,
dynam traffic,
high-throughput data,
requir,
individu,
alloc,
adapt,
link-channel,
select,
interfer,
commun,
power,
thi,
includ,
cluster,
function,
cryptograph,
cryptograph hash,
hash,
channel,
joint,
cancer,
dementia,
meta-analysi,
thi paper,
paper,
use,
dynam traffic engin,
affect,
traffic prioriti,
traffic prioriti base,
traffic prioriti base adapt,
prioriti,
prioriti base,
prioriti base adapt,
base adapt,
respons,
respons congest,
rate control,
activ,
bangladesh,
ha,
radio,
multi-radio,
data deliveri,
deliveri,
applic,
softwar defin,
softwar defin network,
defin,
defin network,
servic,
sdn,
intrus,
high-throughput data deliveri,
cognit radio,
link-channel select,
relationship,
retir,
retir commun,
hypertens affect,
onli,
onli half,
half,
adult manag,
risk factor,
factor,
hypertens includ,
unhealthi,
unhealthi diet,
diet,
lack,
physic,
physic activ,
advanc,
advanc age,
individu age,
challeng,
propos,
power alloc,
softwar product,
softwar product line,
product line,
line,
leukemia,
blood,
blood cell,
flow,
joint link-channel,
joint link-channel select,
verif,
load,
rout,
channel condit,
condit,
machin,
qualiti,
algorithm,
home,
heart,
author,
author retain,
author retain copyright,
retain,
retain copyright,
copyright,
grant,
journal,
journal right,
right,
work simultan,
work simultan licens,
simultan,
simultan licens,
creativ,
attribut,
attribut licens,
share,
acknowledg,
authorship,
initi,
initi public,
maheen,
maheen islam,
islam,
design,
gener,
sensor,
respect,
messag,
dhaka,
md,
system,
intrus detect,
vari,
investig,
network throughput,
throughput,
emerg,
dynam traffic flow,
traffic flow,
multi-radio multi-channel,
multi-radio multi-channel wireless,
multi-radio multi-channel wireless mesh,
multi-channel,
multi-channel wireless,
multi-channel wireless mesh,
multi-channel wireless mesh network,
type,
variou,
introduct,
optim,
link,
number,
user,
router,
microscop,
imag,
human,
issu,
multi-radio wireless,
multi-radio wireless mesh,
multi-radio wireless mesh network,
target,
sensor network,
distribut,
cluster algorithm,",22,2
20,21,34482a19,9.83,3.11,2.16,2.35,"cluster,
algorithm,
number,
high-dimension,
observ,
method,
estim,
use,
load,
load profil,
profil,
limited-sampl,
consumpt,
pairwis,
pairwis constraint,
constraint,
model,
initi,
initi cluster,
sentiment,
data,
select,
group,
point,
applic,
cplp,
word,
arima,
electr,
problem,
simplic,
electr consumpt,
inform,
differ,
type,
challeng,
challeng task,
task,
power,
imag,
base,
sensor,
autom,
sentiment analysi,
analysi,
load profil data,
profil data,
improv,
identifi,
initi cluster centr,
cluster centr,
centr,
propos,
thi paper propos,
paper propos,
process,
thi paper,
head,
cluster surviv,
cluster surviv model,
surviv,
surviv model,
concept,
concept drift,
drift,
power consumpt,
pattern,
time,
behavior,
simplic depth,
depth,
movi,
movi script,
script,
mine,
paper,
learn,
forecast,
arima model,
initi cluster center,
cluster center,
center,
observ point,
algorithm use,
unsupervis,
data point,
perform,
becaus,
classif,
distribut,
predict,
track,
chang,
stage,
electr consumpt behavior,
consumpt behavior,
approach,
import,
set,
high-dimension limited-sampl,
data classif,
data classif use,
data classif use variat,
classif use,
classif use variat,
classif use variat autoencod,
use variat,
use variat autoencod,
variat,
variat autoencod,
autoencod,
vital,
scientif,
scientif view,
view,
life,
limited-sampl size,
size,
hdlss,
hdlss problem,
data type,
data type tend,
type tend,
tend,
larg,
larg number,
dimension,
dimension reduct,
reduct,
dataset,
industri,
field,
gener,
gener pairwis,
gener pairwis constraint,
unlabel,
unlabel data,
semi-supervis,
semi-supervis cluster,
variou,
cluster accuraci,
accuraci,
slice_op,
high-dimension data,
factori,
day,
accur,
microwav,
head imag,
plant,
diseas,
diseas detect,
detect,
imag process,
gamma,
distanc,
learn distribut,
learn distribut word,
learn distribut word represent,
distribut word,
distribut word represent,
word represent,
represent,
embed,
forecast electr,
forecast electr consumpt,
thi,
power consumpt pattern,
consumpt pattern,
algorithm use weight,
algorithm use weight estim,
use weight,
use weight estim,
weight,
weight estim,
unsupervis method,
belong,
maximum,
use algorithm,
perform cluster,
thi algorithm,
variou purpos,
variou purpos becaus,
purpos,
purpos becaus,
howev,
move,
algorithm use densiti,
algorithm use densiti estim,
use densiti,
use densiti estim,
densiti,
densiti estim,
unsupervis learn,
unsupervis learn approach,
learn approach,
place,
cluster algorithm,
commonli,
commonli use,",18,2
21,22,0a59df38,3.85,0.79,0.92,3.64,"detect,
video,
background,
encod,
featur,
edg,
system,
motion,
move,
stabil,
video encod,
offload,
move object,
object,
task,
preset,
comput,
code,
background subtract,
subtract,
network,
move object detect,
time,
mobil,
pixel,
textur,
plate,
object detect,
analysi,
h,
approach,
frame,
stream,
licens,
dynam,
increas,
textur analysi,
use,
server,
recognit,
data,
edg comput,
number,
av1,
properti,
post-process,
background motion,
scheme,
chunk,
dmd,
method,
imag,
mobil edg,
mobil edg comput,
cnn,
accuraci,
extract,
task offload,
veri,
small-cel,
base,
process,
power,
research,
rate,
effect,
techniqu,
fuzzi,
perform,
flow,
cross-correl,
model,
gender,
measur,
displac,
video stabil,
rgb,
learn,
differ,
propos,
result,
small-cel network,
qualiti,
determin,
threshold,
edg server,
deep,
algorithm,
sbs-mec,
discrimin,
segment,
sampl,
train,
show,
foreground,
ha,
novel,
commun,
speech,
signal,
averag,
royalti,
mec,
applic,
scene,
retriev,
reduc,
day,
decomposit,
environ,
surveil,
resourc,
â€™,
multi-cod,
cdma,
data rate,
barker,
barker code,
auto-correl,
auto-correl properti,
categori,
import,
mean,
howev,
present,
bitrat,
investig,
provid,
improv,
real-tim,
compar,
mode,
video encod scheme,
encod scheme,
effici,
color,
color featur,
select,
licens plate,
plate detect,
set,
updat,
region,
mani,
thi paper,
paper,
orchestr,
specif,
salienc,
decreas,
adapt,
studi,
correct,
ani,
speech signal,
intens,
comput resourc,
video stabil method,
stabil method,
data set,
superpixel,
video process,
background model,
area,
dynam task,
dynam task offload,
perform analysi,
paramet,
action,
action recognit,
represent,
orchestr base,
spectrum,
handoff,
cloud,
industri,
dataset,
time preset,
and/or,
â€˜,
anomali,
cluster,
time seri,
seri,
abnorm,
inform,
predict,
rf,
unstabl,
unstabl video,
user,
chang,
servic,
dynam mode,
dynam mode decomposit,
mode decomposit,
function,
supervis,
classif,
devic,",28,3
22,23,c5da9938,3.54,0.81,1,5.3,"comput,
path,
sequenc,
iot,
search,
mine,
pattern,
resourc,
scientif,
bengali,
comput resourc,
smart,
grid,
contigu,
dna,
dna sequenc,
frequent,
user,
approach,
index,
search path,
search path express,
path express,
express,
web,
brows,
provid,
content,
deephateexplain,
explain,
hate,
hate speech,
hate speech detect,
speech,
speech detect,
detect,
bengali languag,
languag,
amount,
contigu frequent,
contigu frequent pattern,
frequent pattern,
life,
biolog,
biolog sequenc,
applic,
challeng,
base,
effici,
market,
market basket,
market basket analysi,
market basket analysi techniqu,
basket,
basket analysi,
basket analysi techniqu,
analysi,
analysi techniqu,
techniqu,
scientif applic,
requir,
larg,
dna sequenc dataset,
sequenc dataset,
dataset,
substanti,
citi,
state-of-the-art,
emerg,
internet,
paradigm,
chang,
mani,
includ,
includ smart,
includ smart home,
smart home,
home,
tremend,
framework,
number,
ha,
custom,
system,
signific,
etc,
distribut,
distribut comput,
distribut comput resourc,
power,
profil,
scientif comput,
requir substanti,
requir substanti amount,
substanti amount,
storag,
storag space,
space,
consist,
task,
grid comput,
variou,
item,
mapreduc,
mapreduc framework,
effici construct,
construct,
path index,
graph-structur,
graph-structur databas,
databas,
citi map,
map,
folder,
folder system,
search inform,
inform,
websit,
way,
creat,
index graph,
graph,
concept,
bisimilar,
previou,
intellig,
emot,
emot web,
emot web brows,
emot web brows agent,
web brows,
web brows agent,
brows agent,
agent,
contemporari,
contemporari web,
contemporari web browser,
web browser,
browser,
provid custom,
provid custom recommend,
custom recommend,
recommend,
suggest,
suggest base,
cooki,
brows histori,
histori,
content filter,
filter,
user provid,
key,
key word,
word,
content insid,
insid,
explain hate,
explain hate speech,
explain hate speech detect,
thi,
thi paper,
paper,
propos,
explain approach,
call,
call deephateexplain,
bengali text,
text,
comprehens,
comprehens preprocess,
preprocess,
befor,
befor classifi,
classifi,
polit,
person,
resourc alloc,
alloc,
integr,
fog,
cloud,
cloud comput,
year,
smart devic,
smart devic ha,
devic,
devic ha,
tremend growth,
growth,
brought,
internet connect,
connect,
comput paradigm,
result,
dramat,
dramat chang,
mani area,
area,
blockchain-bas,
blockchain-bas iot,",11,3
